ts,side,price,qty,pnl,reason
2026-02-05 21:00,SELL,63213.34,0.1,-56.23,exit
2026-02-05 22:00,BUY,63907.86,0.1,,entry
2026-02-05 23:00,SELL,62909.86,0.1,-99.8,exit
2026-02-06 00:00,BUY,63509.39,0.1,,entry
2026-02-06 03:00,SELL,64168.33,0.1,65.89,exit
2026-02-06 16:00,BUY,69954.01,0.1,,entry
2026-02-06 17:00,SELL,70753.53,0.1,79.95,exit
2026-02-07 06:00,BUY,68769.65,0.1,,entry
2026-02-07 07:00,SELL,68087.14,0.1,-68.25,exit
2026-02-07 08:00,BUY,68495.01,0.1,,entry
2026-02-07 09:00,SELL,68138.2,0.1,-35.68,exit
2026-02-07 17:00,BUY,69188.81,0.1,,entry
2026-02-07 20:00,SELL,69631.18,0.1,44.24,exit
2026-02-09 08:00,BUY,69873.99,0.1,,entry
2026-02-09 09:00,SELL,69630.35,0.1,-24.36,exit
2026-02-09 10:00,BUY,68727.88,0.1,,entry
2026-02-09 11:00,SELL,68928.72,0.1,20.08,exit
2026-02-09 19:00,BUY,70957.01,0.1,,entry
2026-02-09 23:00,SELL,70138.0,0.1,-81.9,exit
2026-02-10 00:00,BUY,69827.33,0.1,,entry
2026-02-10 01:00,SELL,70486.82,0.1,65.95,exit
2026-02-11 04:00,BUY,67584.46,0.1,,entry
2026-02-11 05:00,SELL,67404.28,0.1,-18.02,exit
2026-02-11 06:00,BUY,66820.32,0.1,,entry
2026-02-11 07:00,SELL,67032.72,0.1,21.24,exit
2026-02-11 08:00,BUY,66981.07,0.1,,entry
2026-02-11 09:00,SELL,66872.03,0.1,-10.9,exit
2026-02-11 10:00,BUY,66531.99,0.1,,entry
2026-02-11 11:00,SELL,67053.03,0.1,52.1,exit
2026-02-11 15:00,BUY,66519.73,0.1,,entry
2026-02-11 16:00,SELL,66039.09,0.1,-48.06,exit
2026-02-12 12:00,BUY,67865.31,0.1,,entry
2026-02-12 13:00,SELL,68376.58,0.1,51.13,exit
2026-02-12 16:00,BUY,65863.37,0.1,,entry
2026-02-12 17:00,SELL,65413.99,0.1,-44.94,exit
2026-02-12 18:00,BUY,65590.95,0.1,,entry
2026-02-12 19:00,SELL,65788.36,0.1,19.74,exit
2026-02-12 20:00,BUY,65428.56,0.1,,entry
2026-02-12 21:00,SELL,65849.87,0.1,42.13,exit
2026-02-13 12:00,BUY,67084.0,0.1,,entry
2026-02-13 14:00,SELL,67733.51,0.1,64.95,exit
2026-02-15 12:00,BUY,69314.21,0.1,,entry
2026-02-15 13:00,SELL,68930.0,0.1,-38.42,exit
2026-02-15 14:00,BUY,69170.51,0.1,,entry
2026-02-15 15:00,SELL,69099.99,0.1,-7.05,exit
2026-02-15 17:00,BUY,68641.21,0.1,,entry
2026-02-15 18:00,SELL,68451.44,0.1,-18.98,exit
2026-02-15 19:00,BUY,68286.63,0.1,,entry
2026-02-15 20:00,SELL,68450.0,0.1,16.34,exit
2026-02-17 14:00,BUY,66875.06,0.1,,entry
2026-02-17 15:00,SELL,67392.05,0.1,51.7,exit
2026-02-18 18:00,BUY,66359.99,0.1,,entry
2026-02-18 19:00,SELL,66177.14,0.1,-18.29,exit
2026-02-18 20:00,BUY,66268.39,0.1,,entry
2026-02-18 21:00,SELL,66342.76,0.1,7.44,exit
2026-02-19 13:00,BUY,65913.37,0.1,,entry
2026-02-19 14:00,SELL,66421.2,0.1,50.78,exit
2026-02-20 00:00,BUY,67228.91,0.1,,entry
2026-02-20 05:00,SELL,67790.1,0.1,56.12,exit
2026-02-20 13:00,BUY,66801.62,0.1,,entry
2026-02-20 14:00,SELL,67069.65,0.1,26.8,exit
2026-02-21 22:00,BUY,67972.0,0.1,,entry
2026-02-21 23:00,SELL,67975.93,0.1,0.39,exit
2026-02-22 00:00,BUY,67946.0,0.1,,entry
2026-02-22 02:00,SELL,67909.68,0.1,-3.63,exit
2026-02-22 04:00,BUY,67983.5,0.1,,entry
2026-02-22 05:00,SELL,67977.52,0.1,-0.6,exit
2026-02-22 08:00,BUY,67950.1,0.1,,entry
2026-02-22 12:00,SELL,67928.22,0.1,-2.19,exit
2026-02-23 00:00,BUY,66740.47,0.1,,entry
2026-02-23 01:00,SELL,64427.65,0.1,-231.28,exit
2026-02-23 02:00,BUY,64783.56,0.1,,entry
2026-02-23 03:00,SELL,64934.17,0.1,15.06,exit
2026-02-23 04:00,BUY,64808.31,0.1,,entry
2026-02-23 05:00,SELL,65070.9,0.1,26.26,exit
2026-02-23 17:00,BUY,64813.26,0.1,,entry
2026-02-23 18:00,SELL,64635.49,0.1,-17.78,exit
2026-02-23 19:00,BUY,64295.1,0.1,,entry
2026-02-23 20:00,SELL,64473.14,0.1,17.8,exit
2026-02-23 21:00,BUY,64580.66,0.1,,entry
2026-02-23 22:00,SELL,64725.56,0.1,14.49,exit
2026-02-24 01:00,BUY,64160.27,0.1,,entry
2026-02-24 02:00,SELL,64109.81,0.1,-5.05,exit
2026-02-24 03:00,BUY,63595.51,0.1,,entry
2026-02-24 04:00,SELL,63378.84,0.1,-21.67,exit
2026-02-24 05:00,BUY,63104.79,0.1,,entry
2026-02-24 06:00,SELL,63082.79,0.1,-2.2,exit
2026-02-24 07:00,BUY,63192.96,0.1,,entry
2026-02-24 08:00,SELL,63392.15,0.1,19.92,exit
2026-02-24 09:00,BUY,63249.99,0.1,,entry
2026-02-24 10:00,SELL,63284.5,0.1,3.45,exit
2026-02-24 11:00,BUY,63227.1,0.1,,entry
2026-02-24 12:00,SELL,62969.05,0.1,-25.8,exit
2026-02-24 13:00,BUY,62900.0,0.1,,entry
2026-02-24 16:00,SELL,64265.52,0.1,136.55,exit
2026-02-25 01:00,BUY,65896.75,0.1,,entry
2026-02-25 05:00,SELL,64882.76,0.1,-101.4,exit
2026-02-26 15:00,BUY,67382.0,0.1,,entry
2026-02-26 16:00,SELL,66643.55,0.1,-73.84,exit
2026-02-26 17:00,BUY,66826.8,0.1,,entry
2026-02-26 18:00,SELL,67310.53,0.1,48.37,exit
2026-02-27 00:00,BUY,67226.5,0.1,,entry
2026-02-27 01:00,SELL,67352.26,0.1,12.58,exit
2026-02-27 03:00,BUY,67600.84,0.1,,entry
2026-02-27 09:00,SELL,67355.73,0.1,-24.51,exit
2026-02-27 11:00,BUY,66126.99,0.1,,entry
2026-02-27 12:00,SELL,65928.01,0.1,-19.9,exit
2026-02-27 14:00,BUY,65887.59,0.1,,entry
2026-02-27 15:00,SELL,66095.4,0.1,20.78,exit
2026-02-27 16:00,BUY,65475.21,0.1,,entry
2026-02-27 17:00,SELL,65703.19,0.1,22.8,exit
2026-02-27 18:00,BUY,65314.76,0.1,,entry
2026-02-27 19:00,SELL,65392.18,0.1,7.74,exit
2026-02-28 06:00,BUY,63216.01,0.1,,entry
2026-02-28 07:00,SELL,63826.0,0.1,61.0,exit
2026-02-28 08:00,BUY,63473.28,0.1,,entry
2026-02-28 09:00,SELL,63658.54,0.1,18.53,exit
2026-02-28 11:00,BUY,63844.2,0.1,,entry
2026-02-28 12:00,SELL,64017.19,0.1,17.3,exit
2026-02-28 20:00,BUY,66959.62,0.1,,entry
2026-03-01 01:00,SELL,67339.36,0.1,37.97,exit
2026-03-01 16:00,BUY,66135.45,0.1,,entry
2026-03-01 17:00,SELL,65979.61,0.1,-15.58,exit
2026-03-02 03:00,BUY,66820.03,0.1,,entry
2026-03-02 06:00,SELL,66204.9,0.1,-61.51,exit
2026-03-02 07:00,BUY,66007.52,0.1,,entry
2026-03-02 08:00,SELL,66282.0,0.1,27.45,exit
2026-03-02 14:00,BUY,67177.06,0.1,,entry
2026-03-02 15:00,SELL,69130.2,0.1,195.31,exit
2026-03-03 08:00,BUY,67003.3,0.1,,entry
2026-03-03 09:00,SELL,66647.98,0.1,-35.53,exit
